face,voice,label
-0.44799999999999995,-0.6181,3
-0.6486,-0.9342,3
-0.502,-1.5141,3
-0.5364,-1.0915,3
-0.4731,-0.88834,3
-0.4088,-0.68508,3
-0.4402,-0.67828,3
-0.5827,-0.80186,3
-0.1655,3.8293,4
-0.2171,3.6313,4
0.1507,2.0992,4
-0.1518,2.9291,4
-0.0665,3.057,4
0.0695,3.0313,4
-0.2479,3.9288,4
-0.0335,2.4266,4
-0.3807,-0.71465,5
-0.2159,-0.0754,5
-0.2128,-1.099,5
-0.1715,-0.41731,5
-0.2929,0.03234,5
0.15,0.2426,5
-0.2543,-0.8572799999999999,5
-0.2714,0.05924,5
-0.6853,-0.9077700000000001,6
-0.6755,-0.6988,6
-0.2695,-0.9914700000000001,6
-0.1292,-0.6534300000000001,6
-0.5211,-0.35649000000000003,6
0.0081,-0.04498,6
-0.3268,-1.2207,6
-0.2205,-0.44835,6
-0.4089,0.8290799999999999,9
-0.3711,1.6665,9
-0.2737,0.11771,9
-0.4306,1.2136,9
-0.4027,1.3909,9
-0.3909,1.4197,9
-0.5069,0.07413,9
-0.5865,1.3646,9
-0.6144,2.2067,12
-0.4681,3.2091,12
-0.3851,1.4923,12
-0.4022,2.1994,12
-0.7392,2.0493,12
-0.4537,2.8511,12
-0.5148,2.1135,12
-0.7203,2.6317,12
-0.5984,0.51674,13
-0.6831,0.5908100000000001,13
-0.344,0.33113000000000004,13
-0.3063,0.3235,13
-0.5777,0.7289800000000001,13
-0.2887,1.1491,13
-0.4671,0.85572,13
-0.4092,0.7789,13
-0.4744,2.2436,16
-0.7599,2.293,16
-0.6482,1.768,16
-0.505,2.1206,16
-0.6959,2.3133,16
-0.7541,2.7062,16
-0.6028,1.618,16
-0.8143,1.7982,16
-0.0956,0.0573,17
-0.0579,0.72641,17
-0.2453,-0.77147,17
-0.2599,-0.04785,17
-0.1019,-0.12859,17
-0.3304,0.9424,17
-0.2361,-0.45948,17
-0.1898,0.55885,17
-0.7367,0.66375,18
-0.8736,0.83452,18
-0.7324,0.71888,18
-0.6393,0.55207,18
-0.5821,0.96885,18
-0.4116,0.97725,18
-0.7674,0.75372,18
-0.7321,0.81875,18
-0.3272,0.90696,19
-0.2513,1.6161,19
-0.4993,0.76495,19
-0.5212,1.2813,19
-0.2065,1.5090000000000001,19
-0.4193,1.84,19
-0.3627,1.3179,19
-0.513,1.4918,19
-0.871,-0.78225,20
-0.8502,-0.5509,20
-0.5636,-1.4649,20
-0.5936,-0.5441600000000001,20
-0.7879999999999999,-0.22132,20
-0.3991,0.08265,20
-0.7796,-1.147,20
-0.6624,-0.41265,20
-0.4338,0.07063,21
-0.3636,0.6734,21
-0.0557,-0.39004,21
-0.1359,0.42583000000000004,21
-0.2043,0.22136999999999998,21
-0.0901,1.0189,21
-0.2047,-0.48408,21
-0.1342,0.2177,21
-0.909,2.4521,22
-1.0912,2.2345,22
-0.4361,0.9348700000000001,22
-0.5369,1.9496,22
-0.8321,1.8594,22
-0.6026,2.5419,22
-0.7467,2.1728,22
-0.8338,1.7483,22
-0.0977,-0.12214000000000001,24
-0.4192,0.99234,24
-0.2853,-0.72464,24
-0.0634,0.03685,24
-0.2662,0.23188000000000003,24
-0.1729,1.2556,24
-0.10800000000000001,-0.8678799999999999,24
-0.1421,0.50594,24
-0.8338,0.7008300000000001,25
-0.8695,0.60541,25
-0.6433,0.1096,25
-0.6422,0.45915,25
-0.7798,0.56167,25
-0.6206,0.61587,25
-0.6011,0.29134,25
-0.828,0.28626999999999997,25
-0.36200000000000004,-0.40602,26
-0.1733,0.44908000000000003,26
-0.4442,-1.0908,26
-0.4828,-0.39436,26
-0.2873,0.08855,26
-0.3425,0.6591100000000001,26
-0.3543,-0.7572800000000001,26
-0.5091,0.21519000000000002,26
-0.6057,0.87754,27
-0.7189,1.1101,27
-0.2727,0.5776899999999999,27
-0.6235,0.8349700000000001,27
-0.4391,0.33552,27
-0.3375,1.3817,27
-0.488,1.0043,27
-0.4982,0.8436600000000001,27
-0.5414,-0.51791,29
-0.4395,-0.4719,29
-0.4146,-0.80987,29
-0.1717,-0.26406999999999997,29
-0.5196,0.00109,29
-0.1449,0.43831000000000003,29
-0.4257,-0.8627799999999999,29
-0.3912,-0.19527,29
-0.2416,1.1455,30
-0.1569,1.778,30
-0.3433,0.24031,30
-0.3703,1.1296,30
-0.1681,0.83888,30
-0.2677,1.3346,30
-0.4067,0.8386899999999999,30
-0.4317,1.1337,30
-0.1518,0.08987,32
-0.3372,1.2172,32
-0.3983,0.27904,32
-0.3323,1.304,32
-0.1697,0.88685,32
-0.3872,1.7901,32
-0.3634,0.27071,32
-0.3099,1.1465,32
-0.7958,0.63675,33
-0.7192,0.8600200000000001,33
-0.7381,0.08116,33
-0.7583,0.61454,33
